company,job,summary
Daily Kos,Director of Data Science (Remote)," As Director of Data Science, you will manage development of Civiqs' research methodology and data analysis...."
Poshmark,"Data Analyst, Data Analytics/Data Science", Perform extensive QA on data to ensure the quality of data. Follow the standard process for reporting any issues identified and work with Data team to close the...
Tapjoy,Staff Data Scientist," Passionate about building data science product. Strong understanding of Algorithms, Data Structures and Data Mining. Staff Data Scientist...."
TaskRabbit,Data Scientist, The Data Science team's primary toolkit/stack is built on the industry standard scientific and numeric packages in Python....
Fitbit,Jr. Data Integration Engineer," This includes data exploration, data mapping, and data integration to support Marketing department projects...."
Thumbtack,Data Scientist," About the Data Science Team. As a Data Scientist, you will partner with a large cross-functional group of engineers, product managers and other data scientists..."
BICP,Data Scientist | Fortune 500 Retailer," The Data Science team is relatively new, rapidly growing and highly impactful group within the organization. The ideal candidate will have either a Statistics..."
kWh Analytics,Data Scientist," Master’s degree in computer science, statistics, or related field preferred; A track record of spotting relevant trends in noisy data sets...."
Ruvivo,Machine Learning Engineer, Looking to get in on the ground floor of a startup? We have an opportunity with exciting tech startup here in San Francisco as a Machine learning engineer...
Clover Health,Senior Data Science Analyst," As a Data Science Analyst, you will:. We're looking for a lead Data Science Analyst to help us build the data-driven heart of a modern insurance company by..."
Nexon M,Data Analyst," Prepare data visualizations, reports, and high-level summaries for producers, product managers, executives, external developers, and other non-technical end..."
Gusto,"Data Scientist, Models and Algorithms", The Data Science team leverages Gusto's data to deliver data-informed insights for our customers and guide product direction and decision-making....
Massdrop,Data Scientist, We're looking for a Data Scientist to work directly with the CTO to found Data Science as a discipline at Massdrop....
Microagility,Data Scientist, Analyzing raw source data and derived data; Experience with large data sets. Data Scientist will be responsible for researching and building machine learning...
Instacart,Data Science Manager," We're looking for an experienced data science manager to join our Data team. Data modeling, ETL and data pipeline development experience...."
Noodle.ai,Data Engineer," You will develop various data ingestion &amp; transformation routines to acquire data from external data sources, manage distributed crawlers to parse data from web..."
Komodo Health,Data Scientist," Experience working with proprietary secondary data including medical / pharmacy claims, prescription data, sales data, and longitudinal patient-level data...."
LendingHome,Data Scientist," Processing, cleaning and verifying integrity of data. Design efficient data visualizations to communicate complex ideas to stakeholders...."
Granular,"Data Scientist, AcreValue", We're looking for a Data Scientist to join our AcreValue team. Evaluate new data sources to incorporate into our models and build processing pipelines for them...
Shipt,Director of Data Science," Invest in the Team - help improve on existing processes, define best practices, and provide thought leadership around data science initiatives for the Data..."
Medal,BioMedical Data Scientist, Data analysis / data science experience. Experience with health data. Prepare datasets relevant for health data analysis....
Energy Solutions,Data Analyst," Create new data products and data warehouses in collaboration with data engineers, software engineers and business stakeholders using data science best..."
"Komodo Health, Inc.",Data Science Manager, Data Science Manager*. We are looking for a Data Science Manager to play a key role in the success of our Data Science team....
Credible,Business Intelligence Data Engineer," Develop data models in our data warehouse that enable performant, intuitive analysis. Build data pipelines and python-based ETL tools for getting, processing,..."
Bold Metrics,Data Scientist, Bachelor's degree or higher in natural sciences / computer science / mathematics. Fluent in data fundamentals including SQL and data manipulation using a...
Quid,Data Science Engineer, Our Data Science Engineers leverage these core data science capabilities to build insightful applications. Example core data science capabilities....
Epic Creations,Data Scientist," And 2+ years of experience in quantitative analytics, data science, or another similar role. An advanced degree in a quantitative or computational field (e.g.,..."
Advanced Microgrid Solutions,Data Scientist," Experience with data visualization tools. Working within the data science team to design, develop, evaluate, deploy, monitor, and iterate on our optimization..."
