company,job,number_of_evaluations
Incepto Medical,SENIOR DATA SCIENTIST (EN),-
Airbus Group,Scenior Scientist in Uncertainties,1 160 avis
BNP Paribas,CLIENT MARKETING,2 123 avis
Orange Business Services,Data ingenieur H/F,1 469 avis
AXA General Insurance,Data Leak Protection Engineer (F/M),682 avis
Talan,"Consultant décisionnel COGNOS TM1 Junior, Lyon",7 avis
IQVIA,"Data Integration Engineer TSEN, France",95 avis
Total,Scientist in advanced silicon solar cells processing & architectures,865 avis
OCDE,Junior Legal/Economic Analyst - Directorate for Financial and Enterprise Affairs,8 avis
EY,Consultants Décisionnels expérimentés H/F,5 232 avis
EDF,Stage - Chargé de communication et appui animation du Data Innovation Lab d'EDF R&D - H/F,1 124 avis
AXA,Chargé de provisionnement réassurance F/H,-
Micropole,Développeur Magento - H/F,9 avis
BI3E,Consultant(e) Data / Bi F/H,-
Landor,Chef de projet digital (internship),9 avis
SG CIB,Analyste Quantitatif-(H/F),1 400 avis
ESTIA CONSEIL,AMOA Risque F/H,-
EY SOCIÉTÉ D'AVOCATS,Data Analyst expérimenté Paris (Tax Technology and Transformation) F/H,6 avis
SHOWROOMPRIVE COM,LEAD DATA ENGINEER - F/H,-
Keyrus Biopharma,Data Manager Lead (IDF) CDI,3 avis
Hewlett Packard Enterprise,Consultant Technique Big Data,3 400 avis
AFP,Assistant Marketing Sport (H/F) en alternance,37 avis
UMANIS Clinical Research,Chargé de Publishing (IDF) CDI,-
Cytel,Statistical Programmer,-
CNRS,Ingénieur-e biologiste en analyse de données,108 avis
Google,"Software Engineering Intern, Research, 2018",2 392 avis
Business & Décision,Consultant(e) Datascience H/F,-
EMÉRIQUE & PARTNERS,Actuaire Tarification / Création de produit Non-vie - Périmètre internationa F/H,-
Solog,Ingénieur débutant GMAO Maintenance Industrielle (H/F),-
Solog,Chef de projet EAM Maximo (H/F),-
Sia Partners,Consultant(e) Banque,6 avis
ENGIE,STAGE MASTER - Artificial Intelligence - Computer Vision,665 avis
Fed Finance,Analyste quantitatif (Data Science) - (H/F),-
Smart,Head of Data Engineering - H/F,227 avis
Google,"Big Data Product Specialist (EMEA), Google Cloud",2 392 avis
Fed IT,Data Analyst / Chef de Projet - CDI (h/f),-
A.ASTON,Ingénieur Systèmes en Environnement en Santé h/f,-
Harnham,INGéNIEUR BIG DATA - TOP START UP,-
General Electric,STA - Développement Logiciels,220 avis
AKOYA,Consultant(e),2 avis
UMANIS Clinical Research,Rédacteur Médical (IDF) CDI,-
Cherche Susan Désespérément,Data Scientist,-
Tereos,European Sugar Junior Market Analyst H/F,20 avis
The King/Queen in the Organisation,Chef de Projet IT (CDD 6 mois) H/F,-
AXA,Création d’un Modèle d’Accumulations de Risques Cyber - Internship - (F/H),-
Solog,Consultant décisionnel EPM Hyperion Essbase (H/F),-
AXA,Chargé de provisionnement réassurance F/H - Alternance,-
SOFT COMPUTING,Manager BI/Big Data F/H,8 avis
Talan,Consultant API-culteur (H/F),7 avis
Solog,Consultant API-culteur (H/F),-
Veeva,"Project Manager, Data Solutions",-
Ministère Justice-SG-Service des systèmes d'inform...,Chargé de Mission Urbanisation et Administration des données,-
Avisia,Digital Analyst,-
VINCI Energies,Responsable Veille et contenus Editoriaux F/H,30 avis
Air France-KLM,Apprenti(e)- Analyste Gestion des Risques et de la Conformité H/F,475 avis
Atos,Doctorant Machine-Learning H/F,1 626 avis
Adsearch,ARCHITECTE BIG DATA (H/F),3 avis
Deloitte,Stagiaire Economic Advisory – Régulation et Energie (H/F),6 694 avis
CAP FI TECHNOLOGY,Développeur - Software Engineer Python - H/F,-
Kent FR,LEAD DÉVELOPPEUR MACHINE LEARNING F/H,-
Linkfield,Directeur Advanced Analytics F/H,-
Gilead,"Associate Manager, Business Conduct (Data Steward)",-
DuPont,EMEA Legal Advisor,946 avis
Sept Lieues,Data Engineer,-
Celgene Corporation,Responsable des systèmes d’information (H/F),177 avis
Renault,Chef de projet Digital (F/H),3 045 avis
Micropole,Gestionnaire de formation (H/F),9 avis
Venn Life,SAS Programmer,-
Murex S.A.S.,Java DeveloperExpert H/F Real Time / Big Data,-
AXA,Actuaire F/H,-
LOKAD,Intern or PhD in machine learning,-
Shift Technology,Junior frontend developer,-
DANONE,CDD 6 MONTHS R&D Aquadrinks Innovation Engineer L9,887 avis
Hitachi Vantara,Configuration Strategist,-
Solog,Consultant ETL (H/F),-
Talan,Consultant ETL (H/F),7 avis
Google,Research Scientist,2 392 avis
Umanis,ADMINISTRATEUR ACTIVE DIRECTORY H/F IDF,11 avis
Faculté de Médecine,Biostatisticien F/H (réf.FM3),15 avis
Keyrus,Consultant Tableau Software / Datavisualisation H/F (Paris),8 avis
EY,Consultant Expérimenté Analytics / Data Scientist H/F (grade Manager),5 232 avis
CAP FI TECHNOLOGY,MOA Comptabilité bancaire H/F,-
LINCOLN,Data Analyst Risques Expérimenté F/H,39 avis
Groupama,Responsable de projets Intelligence Artificielle H/F,309 avis
Procter & Gamble,Information Technology - Data Analyst Intern in France (M/F),4 407 avis
Amplitude Studios,AI Programmer,-
Réseau de transport d'électricité,APPRENTI(E) INGENIEUR(E) DANS LE DOMAINE DE LA PREVISION DE CONSOMMATION - H/F,-
PACIFICA Paris,Dataminer – connaissance Client H/F,-
Dentsu Aegis,Planneur Stratégique H/F,114 avis
JCDecaux FR,Stage - Ingénieur Big Data - Mai/Juin 2018 H/F,183 avis
Groupe des Ecoles Nationales d'Economie et Statist...,gestionnaire de scolarité de l'Ensae ParisTech,-
BCA Expertise,ANALYSTE BUSINESS INTELLIGENCE H/F,11 avis
CAP FI TECHNOLOGY,Développeur - Software Engineer C++ - H/F,-
Google,"Research Scientist, Google Brain",2 392 avis
Solocal Group,Stage / Datascientist H/F,23 avis
Content Square,Fullstack Sotfware Engineer,2 avis
ULLINK,eXtrem Architecture Internship (Paris),6 avis
Keyrus,Directeur de Mission EPM H/F (Paris),8 avis
UMANIS Clinical Research,Assistant Pharmacovigilance (IDF) CDI,-
EDF,Ingénieur de recherche en informatique - data engineer H/F - H/F,1 124 avis
Microsoft,Technology Solutions Professional,4 486 avis
PPD,Clinical Research Associate II,408 avis
EY,Consultant stagiaire en Knowledge Management - H/F,5 232 avis
Google,Software Engineer,2 392 avis
Shift Technology,Software Engineer,-
Direction des ressources humaines - Recruteur défe...,Apprenti – Assistant chef de projet Management de l'Information,-
AXA General Insurance,Actuaire F/H - Alternance,682 avis
BLUECODERS,Développeur Java Junior F/H,4 avis
Microsoft,Software Engineer,4 486 avis
Premier Research Group Limited,CRA trainee,-
Talan,Consultant Middleware Oracle (H/F),7 avis
Investment Technology Group (ITG),Support Engineer,-
