company,job,number_of_evaluations
Cognizant,Cloud Architect MS-Azure-VMWare,9.959 Bewertungen
Darwin Recruitment,QA Engineer,-
Deutsche Bahn,Senior Product Owner Data Science (w/m),391 Bewertungen
MSA Technologies and Enterprise Services GmbH,Software Engineer / Analyst - Quality (m/f),-
Bayer,Head of PV System Management & Analytics (m/f),2.355 Bewertungen
Honeypot GmbH,RoR Backend Development (Lead Engineer),-
Resourcing Life,Clinical Project Manager home based,-
Advertima AG,Backend Engineer (m/f) in Tech-Startup (100%),-
zLabels Platform Services GmbH & Co. KG,Senior NetSuite Developer- zLabels,-
ResearchGate GmbH,Sales Team Manager (m/f),-
Würth IT,Wirtschaftsinformatik Data Science - Ausbildung 2019,-
Sociomantic Labs,Senior Software Developer [distributed storage],-
Wayfair,"Senior Manager, Analytics (m/f)",321 Bewertungen
Zalando SE,Engineering Lead - Distributed Commerce,78 Bewertungen
HERE Technologies,Senior Test Automation Engineer - Here Mobility (m/f),193 Bewertungen
Zalando,Senior Data Warehouse Engineer - zLabels,78 Bewertungen
FinLeap,IT/QA Technician (m/f) for a new FinLeap Venture,4 Bewertungen
Zalando SE,Head of Engineering – Transaction Handling,78 Bewertungen
Opinary GmbH,Product Manager Commercial (m/w) - BERLIN,-
Zalando SE,Head of Fulfillment Availability and Seller Steering (m/f),78 Bewertungen
ResearchGate GmbH,Key Account Manager (m/f),-
REDSOFA BERLIN GMBH,Senior Backend Developer,-
Google,"Sales Engineer, Google Cloud (Apigee)",2.392 Bewertungen
Meelogic Consulting AG,IT Infrastructure Engineer / IT Administrator,-
Zalando SE,Lead Engineer for Markets,78 Bewertungen
Darwin Recruitment,Python Developer,-
GoEuro,Marketing Automation Manager,-
eBay Inc.,Senior UX Researcher (f/m),1.395 Bewertungen
Conrad Electronic,Project Manager for IoT-platform (m/f),10 Bewertungen
Daimler FleetBoard GmbH,Senior / Lead Visual Designer (m/f) - Fleetboard Innovation Hub Berlin,-
Cogs Agency,Adobe Analyst,-
iPAXX,Chief Technical Officer (m/f) - Mobile,-
Veeva,Account Executive (DACH),-
MBition GmbH,Product Owner - Automotive Software (m/f),-
DCMN GmbH,Senior Software Engineer (m/f),-
Zalando SE,Senior Research Engineer - Logistics Algorithms,78 Bewertungen
Quintiles Commercial Germany GmbH,Key Account Manager (m/w),1.015 Bewertungen
Amazon.com,Solution Delivery Manager (m/f),24.701 Bewertungen
