company,job,number_of_evaluations
Acumen Solutions,Salesforce Data Architect,11 reviews
Autodesk,Application Programmer Analyst,307 reviews
Feedzai,Data Scientist,-
Acumen LLC,Data Systems Programmer-Operations Specialist,12 reviews
Counsyl,"Clinical Operations, Data Analyst",2 reviews
goPuff,Data Analytics Lead - Marketing,24 reviews
TriNet,Market Data Analyst,105 reviews
Tenable,Integration Consultant,15 reviews
The Climate Corporation,Quantitative Researcher: Applied Mathematics,11 reviews
Proteus Digital Health,Health Economics and Outcomes Research (HEOR) Data Analyst,14 reviews
"Williams-Sonoma, Inc.","Assistant Planner, DTC Dec Acc, Candle Holders, Trim - Pottery Barn","1,538 reviews"
Hall Capital Partners,Investment Operations Specialist,-
Twitch,Senior Data Analyst - Video Platform,31 reviews
Essence,Director of Data Science,6 reviews
Clarivate Analytics,"Manager, Data Science",27 reviews
"Williams-Sonoma, Inc.",Compensation Analyst,"1,538 reviews"
"Williams-Sonoma, Inc.","Assistant Planner, Outdoor - Pottery Barn","1,538 reviews"
Exabeam,Lead Big Data Engineer,-
Homebase,Business Operations Associate,627 reviews
Manifest Medex,Healthcare QA Data Analyst,-
"Williams-Sonoma, Inc.","Assistant Buyer, Bedding - Pottery Barn","1,538 reviews"
Wish,Sr. Risk Data Analyst,14 reviews
Google,"Cloud Data Engineer, Google Professional Services","2,391 reviews"
GlaxoSmithKline,Data Instrumentation Engineer - Galvani Bioelectronics,"2,939 reviews"
Exabeam,Senior Big Data Engineer,-
Walmart eCommerce,Principal Data Scientist,"143,132 reviews"
Acumen LLC,Data Systems Programmer-Algorithms Specialist,12 reviews
ZapLabs LLC,Senior Big Data Engineer,-
Shutterfly,Data Engineer,346 reviews
Twitch,Senior Data Analyst - Business Intelligence,31 reviews
PwC,Data Integration Solution Architect,"5,523 reviews"
Fastly,Distributed Systems Engineer: Data Team,4 reviews
U.S. Bank,Data Analytics Manager,"5,218 reviews"
Directly Software,Operations Manager,-
Capgemini,Data Engineer with Testing (Seattle WA),"5,578 reviews"
Looker,"Data Analyst Consultant, Professional Services - SF",2 reviews
Red Ventures,Editorial Compliance Associate,464 reviews
Progress Software Corporation,Solutions Sales Engineer- Big Data & Analytics,60 reviews
Apple,Siri - Engineering Project Mgr - Operations & Infrastructure,"5,529 reviews"
Great American Insurance Group,Claims Assistant - Workers' Compensation,57 reviews
Credit Karma,Assigning Editor,6 reviews
Mesosphere,Communications Designer,-
City & County of San Francisco,Public Service Aide - Associate To Professionals-2018,36 reviews
